"filename", "language", "Vue", "JSON", "JavaScript", "Markdown", "SCSS", "HTML", "JSON with Comments", "CSS", "XML", "TypeScript", "comment", "blank", "total"
"d:\CodeArea\Other\NewsApp\news\uview-ui\iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 680, 0, 0, 8, 223, 911
"d:\CodeArea\Other\NewsApp\news\uview-ui\index.js", "JavaScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 44, 10, 141
"d:\CodeArea\Other\NewsApp\news\uview-ui\index.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 13, 4, 23
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\config\config.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 1, 15
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\config\zIndex.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 9, 1, 20
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\css\color.scss", "SCSS", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 39, 156
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\css\common.scss", "SCSS", 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 22, 33, 176
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\css\style.components.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 7
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\css\style.h5.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 1, 9
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\css\style.mp.scss", "SCSS", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 15, 16, 73
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\css\style.nvue.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\css\style.vue.scss", "SCSS", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 28, 29, 176
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\$parent.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 7, 0, 18
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\addUnit.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 1, 8
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\bem.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\color.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 6, 37
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\colorGradient.js", "JavaScript", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 19, 7, 134
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\debounce.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 11, 3, 30
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\deepClone.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 3, 24
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\deepMerge.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 2, 30
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\getParent.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 11, 1, 47
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\guid.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 13, 4, 42
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\md5.js", "JavaScript", 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 72, 33, 385
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\queryParams.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 12, 2, 59
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\random.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\randomArray.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\route.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 25, 9, 122
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\sys.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\test.js", "JavaScript", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 70, 25, 233
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\throttle.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 10, 2, 33
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\timeFormat.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 9, 4, 52
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\timeFrom.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 10, 4, 48
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\toast.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\trim.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\function\type2icon.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 2, 36
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\mixin\mixin.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 14, 1, 65
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\mixin\mpShare.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 1, 19
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\request\index.js", "JavaScript", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 38, 11, 170
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\store\index.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 1, 19
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\util\area.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\util\async-validator.js", "JavaScript", 0, 0, 916, 0, 0, 0, 0, 0, 0, 0, 209, 232, 1357
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\util\city.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\util\emitter.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 22, 1, 52
"d:\CodeArea\Other\NewsApp\news\uview-ui\libs\util\province.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CodeArea\Other\NewsApp\news\uview-ui\package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\CodeArea\Other\NewsApp\news\uview-ui\theme.scss", "SCSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 8, 39
"d:\CodeArea\Other\NewsApp\news\vue.config.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"Total", "-", 42901, 2241, 20329, 1795, 1732, 24, 19, 1337, 996, 89, 14669, 5960, 92092
